"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "vue", "XML", "CSS", "comment", "blank", "total"
"d:\Vue_project\happy-trade-vue\README.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 0, 0, 16, 41
"d:\Vue_project\happy-trade-vue\auto-imports.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"d:\Vue_project\happy-trade-vue\components.d.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 3, 3, 87
"d:\Vue_project\happy-trade-vue\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Vue_project\happy-trade-vue\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Vue_project\happy-trade-vue\package-lock.json", "JSON", 0, 2633, 0, 0, 0, 0, 0, 0, 0, 1, 2634
"d:\Vue_project\happy-trade-vue\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Vue_project\happy-trade-vue\public\img\error.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Vue_project\happy-trade-vue\public\img\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Vue_project\happy-trade-vue\src\App.vue", "vue", 0, 0, 0, 0, 0, 219, 0, 0, 1, 48, 268
"d:\Vue_project\happy-trade-vue\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Vue_project\happy-trade-vue\src\assets\css\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 1, 0, 43
"d:\Vue_project\happy-trade-vue\src\common\constant.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Vue_project\happy-trade-vue\src\components\BidStep1.vue", "vue", 0, 0, 0, 0, 0, 166, 0, 0, 1, 25, 192
"d:\Vue_project\happy-trade-vue\src\components\BidStep2.vue", "vue", 0, 0, 0, 0, 0, 145, 0, 0, 0, 25, 170
"d:\Vue_project\happy-trade-vue\src\components\BidStep3.vue", "vue", 0, 0, 0, 0, 0, 101, 0, 0, 0, 12, 113
"d:\Vue_project\happy-trade-vue\src\components\Header.vue", "vue", 0, 0, 0, 0, 0, 90, 0, 0, 0, 8, 98
"d:\Vue_project\happy-trade-vue\src\components\Search.vue", "vue", 0, 0, 0, 0, 0, 59, 0, 0, 0, 7, 66
"d:\Vue_project\happy-trade-vue\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\Vue_project\happy-trade-vue\src\entity\Commodity.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Vue_project\happy-trade-vue\src\entity\CommodityBid.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Vue_project\happy-trade-vue\src\entity\CommonResult.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Vue_project\happy-trade-vue\src\entity\Resource.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Vue_project\happy-trade-vue\src\entity\User.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Vue_project\happy-trade-vue\src\entity\UserAddress.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Vue_project\happy-trade-vue\src\main.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Vue_project\happy-trade-vue\src\router\index.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 4, 34
"d:\Vue_project\happy-trade-vue\src\views\About.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"d:\Vue_project\happy-trade-vue\src\views\Commodity.vue", "vue", 0, 0, 0, 0, 0, 596, 0, 0, 0, 124, 720
"d:\Vue_project\happy-trade-vue\src\views\Index.vue", "vue", 0, 0, 0, 0, 0, 217, 0, 0, 0, 2, 219
"d:\Vue_project\happy-trade-vue\src\views\Search.vue", "vue", 0, 0, 0, 0, 0, 241, 0, 0, 0, 39, 280
"d:\Vue_project\happy-trade-vue\tsconfig.config.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Vue_project\happy-trade-vue\tsconfig.json", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 0, 15, 0, 26
"d:\Vue_project\happy-trade-vue\vite.config.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 1, 3, 27
"Total", "-", 11, 2670, 227, 25, 13, 1894, 2, 48, 28, 337, 5255
