"filename", "language", "TypeScript", "vue", "comment", "blank", "total"
"d:\Vue_project\happy-trade-vue\components.d.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\Vue_project\happy-trade-vue\src\components\BidStep2.vue", "vue", 0, 16, 0, -1, 15
"d:\Vue_project\happy-trade-vue\src\interface\Address.ts", "TypeScript", 22, 0, 0, 4, 26
"d:\Vue_project\happy-trade-vue\src\interface\CommodityBid.ts", "TypeScript", 3, 0, 0, 0, 3
"d:\Vue_project\happy-trade-vue\src\interface\CommonResultPage.ts", "TypeScript", 4, 0, 0, 0, 4
"d:\Vue_project\happy-trade-vue\src\interface\UserAddress.ts", "TypeScript", 1, 0, 0, 2, 3
"d:\Vue_project\happy-trade-vue\src\router\index.ts", "TypeScript", 41, 0, 2, -1, 42
"d:\Vue_project\happy-trade-vue\src\util\fetchUtil.ts", "TypeScript", 38, 0, 5, -2, 41
"d:\Vue_project\happy-trade-vue\src\views\Commodity.vue", "vue", 0, 0, 0, 1, 1
"d:\Vue_project\happy-trade-vue\src\views\backstage\Address.vue", "vue", 0, 356, 0, 26, 382
"d:\Vue_project\happy-trade-vue\src\views\backstage\Index.vue", "vue", 0, 108, 0, 10, 118
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Bid.vue", "vue", 0, 109, 0, 24, 133
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Index.vue", "vue", 0, -107, 0, -10, -117
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Order.vue", "vue", 0, 0, 0, 1, 1
"d:\Vue_project\happy-trade-vue\src\views\backstage\seller\Bid.vue", "vue", 0, 359, 0, 51, 410
"d:\Vue_project\happy-trade-vue\src\views\backstage\seller\Order.vue", "vue", 0, 0, 0, 1, 1
"d:\Vue_project\happy-trade-vue\src\views\backstage\seller\OrderDetail.vue", "vue", 0, 285, 0, 42, 327
"Total", "-", 110, 1126, 7, 148, 1391
